name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Nubian Nut,George Clinton,You Shouldn't-Nuf Bit Fish,2C3TfRPb5Xc1luyGgNnNjT,359333,False,spotify:track:2C3TfRPb5Xc1luyGgNnNjT,Unknown,0.858,0.531,11,-12.597,0,0.107,0.135,5.57e-06,0.148,0.888,110.862,4
Last Dance,George Clinton,You Shouldn't-Nuf Bit Fish,3ORIEbVsmkPTycbKDC4dQV,329666,False,spotify:track:3ORIEbVsmkPTycbKDC4dQV,Unknown,0.855,0.592,11,-13.634,0,0.114,0.00906,0,0.0876,0.706,112.562,4
You Shouldn't-Nuf Bit Fish,George Clinton,You Shouldn't-Nuf Bit Fish,08aJdzQTpIeXOK4pbYt1y0,529306,False,spotify:track:08aJdzQTpIeXOK4pbYt1y0,Unknown,0.759,0.457,9,-16.393,0,0.0911,0.0604,0.0109,0.369,0.447,105.196,4
"Good Thoughts, Bad Thoughts",Funkadelic,Standing On The Verge Of Getting It On,3ueN9szC38HHk3dZqOdoyq,564066,False,spotify:track:3ueN9szC38HHk3dZqOdoyq,Unknown,0.453,0.389,4,-13.143,0,0.0341,0.911,0.0124,0.267,0.235,109.92,3
Summertime,Billy Stewart,20th Century Masters: The Millennium Collection: Best Of Billy Stewart,4qH8fQ5Ub2r6llHnrRGM3w,254866,False,spotify:track:4qH8fQ5Ub2r6llHnrRGM3w,Unknown,0.67,0.787,0,-6.847,0,0.0446,0.658,0.000217,0.13,0.819,113.345,4
Coffin Nails,MF DOOM,Metal Fingers Presents Special Herbs 5&6,3CWoOkdQEtnQMK4prY3vPD,176760,True,spotify:track:3CWoOkdQEtnQMK4prY3vPD,Unknown,0.742,0.578,11,-9.263,0,0.0567,0.00906,0.81,0.102,0.964,95.047,4
Who Built The Moon,Shinyribs,Well After Awhile,4uF2wAqGOj7GLnxBIaehFW,309226,False,spotify:track:4uF2wAqGOj7GLnxBIaehFW,Unknown,0.762,0.562,6,-7.376,0,0.0778,0.354,3.83e-06,0.118,0.465,82.04,4
Sorry You're Sick,Ted Hawkins,Cold and Bitter Tears: Essential Recordings,38W9MqAIWiP5HkWio8NHXm,128546,False,spotify:track:38W9MqAIWiP5HkWio8NHXm,Unknown,0.72,0.369,8,-9.411,0,0.0624,0.957,0.000118,0.145,0.78,141.297,4
The Unpossible,Kaleidoscope Jukebox,Infinite Reflection,3myctbQTfskIDNZ4HGeI9N,313022,False,spotify:track:3myctbQTfskIDNZ4HGeI9N,Unknown,0.662,0.787,11,-5.586,1,0.0372,0.0122,0.77,0.0954,0.63,91.997,4
Calvin,The Jon Spencer Blues Explosion,Acme (Deluxe Edition),1BDCHZla8fsHY1mjDztDg3,182933,False,spotify:track:1BDCHZla8fsHY1mjDztDg3,Unknown,0.831,0.814,1,-5.025,0,0.376,0.103,0.375,0.211,0.49,173.55,4
The Weight,Aretha Franklin,Soul Queen,2VdHRWJeGpIY0WJcQD2mYd,171533,False,spotify:track:2VdHRWJeGpIY0WJcQD2mYd,Unknown,0.518,0.709,3,-8.395,1,0.178,0.27,6.57e-06,0.0985,0.782,173.093,4
